Review_new	Translation	Positive	Negative	EmotionRationale
the intern cant even print copies	the intern cant even print copies	1	-1	 the[0] intern[0] cant[0] even[0] print[0] copies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the banker couldnt even tell me why my account has been frozen	the banker couldnt even tell me why my account has been frozen	1	-1	 the[0] banker[0] couldnt[0] even[0] tell[0] me[0] why[0] my[0] account[0] has[0] been[0] frozen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the nurse couldnt even bandage my wound	the nurse couldnt even bandage my wound	1	-2	 the[0] nurse[0] couldnt[0] even[0] bandage[0] my[0] wound[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wish i had not found this place at all	i wish i had not found this place at all	1	-1	 i[0] wish[0] i[0] had[0] not[0] found[0] this[0] place[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this phone cant be any more innovative	this phone cant be any more innovative	1	-1	 this[0] phone[0] cant[0] be[0] any[0] more[0] innovative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cleaning service cant be any more meticulous and clean	the cleaning service cant be any more meticulous and clean	1	-1	 the[0] cleaning[0] service[0] cant[0] be[0] any[0] more[0] meticulous[0] and[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my friend didnt lie when he told me i would love this place	my friend didnt lie when he told me i would love this place	2	-1	 my[0] friend[1] didnt[0] lie[0] when[0] he[0] told[0] me[0] i[0] would[0] love[2][-1 LastWordBoosterStrength] this[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is usually not my taste but surprisingly i did like it	this is usually not my taste but surprisingly i did like it	1	-1	 this[0] is[0] usually[0] not[0] my[0] taste[0] but[0] surprisingly[0] i[0] did[0] like[1][-1 LastWordBoosterStrength] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the banker recommended me to not buy this stock and saved me a ton of money	the banker recommended me to not buy this stock and saved me a ton of money	2	-1	 the[0] banker[0] recommended[0] me[0] to[0] not[0] buy[0] this[0] stock[0] and[0] saved[1] me[0] a[0] ton[0] of[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this bar didnt disappoint me	this bar didnt disappoint me	1	-2	 this[0] bar[0] didnt[0] disappoint[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the food wasnt too cold or too warm which left me satisfied	the food wasnt too cold or too warm which left me satisfied	2	-2	 the[0] food[0] wasnt[0] too[0] cold[-1] or[0] too[0] warm[0] which[0] left[0] me[0] satisfied[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i cant believe how pleasant the cashier was	i cant believe how pleasant the cashier was	3	-1	 i[0] cant[0] believe[0] how[0] pleasant[2] the[0] cashier[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i couldnt express how thankful i was for the policemans help	i couldnt express how thankful i was for the policemans help	2	-1	 i[0] couldnt[0] express[0] how[0] thankful[1] i[0] was[0] for[0] the[0] policemans[0] help[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i wouldnt enter this restaurant even if someone pays me for it	i wouldnt enter this restaurant even if someone pays me for it	1	-1	 i[0] wouldnt[0] enter[0] this[0] restaurant[0] even[0] if[0] someone[0] pays[0] me[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i cannot believe that they arent sold out every day	i cannot believe that they arent sold out every day	1	-1	 i[0] cannot[0] believe[0] that[0] they[0] arent[0] sold[0] out[0] every[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wouldnt trade my apple watch for anything else in this world	i wouldnt trade my apple watch for anything else in this world	1	-1	 i[0] wouldnt[0] trade[0] my[0] apple[0] watch[0] for[0] anything[0] else[0] in[0] this[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the restaurant isnt bad like others try to make it out to be	the restaurant isnt bad like others try to make it out to be	2	-2	 the[0] restaurant[0] isnt[0] bad[-1][NegatedDueToPreviousWord] like[1][NegatedDueToPreviousWord] others[0] try[0] to[0] make[0] it[0] out[0] to[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chris hemsworth cant be any more charming than in this movie	chris hemsworth cant be any more charming than in this movie	2	-1	 chris[0] hemsworth[0] cant[0] be[0] any[0] more[0] charming[1] than[0] in[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
